state,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10
Alabama,Baldwin,2006,280,174,81,24,1,0,0,156,97,46,0,0,219,61,0
Alabama,Barbour,2006,11,6,5,0,0,0,0,77,63,35,0,0,0,11,0
Alabama,Clay,2006,286,165,112,9,0,0,0,140,80,48,0,0,201,85,0
Alabama,Colbert,2006,282,180,95,7,0,0,0,129,74,45,0,0,191,91,0
Alabama,DeKalb,2006,363,215,133,15,0,0,0,140,84,47,0,0,303,60,0
Alabama,Elmore,2006,244,166,72,6,0,0,0,112,77,46,0,0,244,0,0
Alabama,Escambia,2006,121,55,66,0,0,0,0,94,71,52,0,0,0,121,0
Alabama,Etowah,2006,282,168,108,6,0,0,0,129,74,48,0,0,196,85,1
Alabama,Houston,2006,285,177,102,6,0,0,0,126,77,46,0,0,194,91,0
Alabama,Jefferson,2006,365,29,267,56,12,1,0,204,118,79,49,0,63,211,42
Alabama,Lawrence,2006,281,179,96,6,0,0,0,136,77,46,0,0,208,73,0
Alabama,Madison,2006,362,229,119,12,2,0,0,156,84,45,0,0,286,70,6
Alabama,Marengo,2006,16,16,0,0,0,0,0,31,26,19,0,0,0,0,16
Alabama,Mobile,2006,359,236,99,21,3,0,0,164,84,44,0,0,206,74,79
Alabama,Montgomery,2006,286,170,107,8,1,0,0,175,80,45,0,0,186,100,0
Alabama,Morgan,2006,284,150,116,18,0,0,0,136,92,50,0,0,209,75,0
Alabama,Pike,2006,20,20,0,0,0,0,0,37,34,21,0,0,0,0,20
Alabama,Russell,2006,280,134,137,9,0,0,0,143,84,51,0,0,179,101,0
Alabama,Shelby,2006,284,142,111,25,6,0,0,169,101,51,0,0,202,82,0
Alabama,Sumter,2006,263,194,67,2,0,0,0,119,71,42,0,0,215,48,0
Alabama,Talladega,2006,277,157,105,15,0,0,0,150,84,48,0,0,209,66,2
Alabama,Tuscaloosa,2006,277,163,106,7,1,0,0,161,80,47,0,0,188,89,0
Alabama,Walker,2006,118,53,63,2,0,0,0,112,79,53,0,0,0,118,0
Alaska,Aleutians East ,2006,117,116,1,0,0,0,0,62,19,10,0,0,0,117,0
Alaska,Anchorage ,2006,304,262,42,0,0,0,0,97,55,21,106,0,0,83,115
Alaska,Denali ,2006,359,357,2,0,0,0,0,67,44,34,0,0,357,2,0
Alaska,Fairbanks North Star ,2006,338,224,93,19,2,0,0,156,89,32,2,0,0,336,0
Alaska,Juneau ,2006,108,88,18,2,0,0,0,133,67,22,0,0,0,106,2
Alaska,Kenai Peninsula ,2006,118,117,1,0,0,0,0,86,16,6,0,0,0,118,0
Alaska,Matanuska-Susitna ,2006,126,109,13,4,0,0,0,133,57,12,0,0,0,120,6
Alaska,Wrangell Petersburg,2006,118,118,0,0,0,0,0,26,9,4,0,0,0,118,0
Arizona,Apache,2006,339,323,15,1,0,0,0,103,42,20,0,0,0,21,318
Arizona,Cochise,2006,360,252,99,9,0,0,0,119,74,46,0,0,325,25,10
Arizona,Coconino,2006,361,211,147,3,0,0,0,122,84,48,0,0,355,6,0
Arizona,Gila,2006,353,178,140,34,1,0,0,159,100,50,0,0,188,25,140
Arizona,Graham,2006,57,57,0,0,0,0,0,46,35,19,0,0,0,0,57
Arizona,La Paz,2006,214,98,107,9,0,0,0,119,90,54,0,0,214,0,0
Arizona,Maricopa,2006,365,27,235,88,15,0,0,179,126,83,0,30,165,18,152
Arizona,Mohave,2006,122,116,6,0,0,0,0,73,41,22,0,0,0,98,24
Arizona,Navajo,2006,328,230,92,6,0,0,0,150,74,45,0,0,306,15,7
Arizona,Pima,2006,365,196,150,19,0,0,0,143,90,50,0,2,285,14,64
Arizona,Pinal,2006,365,20,93,101,92,22,37,974,306,132,0,0,58,2,305
Arizona,Santa Cruz,2006,333,145,145,39,4,0,0,176,108,55,0,0,0,29,304
Arizona,Yavapai,2006,124,123,1,0,0,0,0,51,28,14,0,0,0,100,24
Arizona,Yuma,2006,365,187,164,14,0,0,0,146,74,50,0,14,182,0,169
Arkansas,Arkansas,2006,117,70,47,0,0,0,0,93,63,46,0,0,0,117,0
Arkansas,Ashley,2006,118,54,64,0,0,0,0,98,75,52,0,0,0,118,0
Arkansas,Clark,2006,345,300,45,0,0,0,0,100,61,35,0,0,345,0,0
Arkansas,Crittenden,2006,365,238,104,19,4,0,0,195,90,44,0,76,230,59,0
Arkansas,Faulkner,2006,117,71,46,0,0,0,0,89,66,46,0,0,0,117,0
Arkansas,Garland,2006,109,61,48,0,0,0,0,89,66,46,0,0,0,109,0
Arkansas,Jackson,2006,114,76,38,0,0,0,0,85,63,40,0,0,0,114,0
Arkansas,Newton,2006,363,246,113,4,0,0,0,122,77,44,0,0,341,22,0
Arkansas,Phillips,2006,117,78,39,0,0,0,0,89,65,44,0,0,0,117,0
Arkansas,Polk,2006,365,224,128,13,0,0,0,122,80,45,0,0,318,47,0
Arkansas,Pope,2006,116,64,52,0,0,0,0,84,66,48,0,0,0,116,0
Arkansas,Pulaski,2006,365,144,200,15,6,0,0,166,87,54,0,2,133,230,0
Arkansas,Sebastian,2006,115,68,47,0,0,0,0,84,64,44,0,0,0,115,0
Arkansas,Union,2006,112,68,44,0,0,0,0,81,68,45,0,0,0,112,0
Arkansas,Washington,2006,89,88,1,0,0,0,0,54,42,30,0,0,89,0,0
Arkansas,White,2006,119,69,50,0,0,0,0,96,67,47,0,0,0,119,0
California,Alameda,2006,365,220,123,17,5,0,0,190,84,45,0,25,155,185,0
California,Amador,2006,364,265,69,27,3,0,0,185,97,37,0,0,364,0,0
California,Butte,2006,365,155,142,59,9,0,0,172,122,56,0,1,262,100,2
California,Calaveras,2006,364,230,88,34,11,1,0,201,108,42,0,0,347,17,0
California,Colusa,2006,365,234,128,2,1,0,0,154,74,45,0,0,216,145,4
California,Contra Costa,2006,365,265,80,16,4,0,0,169,83,41,0,45,241,77,2
California,Del Norte,2006,124,120,4,0,0,0,0,77,32,12,0,0,0,94,30
California,El Dorado,2006,365,215,71,50,27,2,0,210,143,43,0,0,365,0,0
California,Fresno,2006,365,82,149,85,47,2,0,208,156,80,0,21,194,149,1
California,Glenn,2006,364,268,88,7,1,0,0,153,67,41,0,0,284,76,4
California,Humboldt,2006,101,82,19,0,0,0,0,99,58,28,0,2,11,77,11
California,Imperial,2006,365,118,184,54,9,0,0,190,119,62,6,67,246,24,22
California,Inyo,2006,365,176,123,47,8,1,10,8195,115,51,0,0,292,0,73
California,Kern,2006,365,56,129,95,71,14,0,217,175,100,0,4,209,147,5
California,Kings,2006,365,176,109,72,8,0,0,190,126,52,0,47,244,36,38
California,Lake,2006,364,336,27,1,0,0,0,101,48,35,0,0,358,6,0
California,Los Angeles,2006,365,64,172,79,39,11,0,224,161,82,1,63,178,121,2
California,Madera,2006,363,260,72,30,1,0,0,174,97,39,0,61,302,0,0
California,Marin,2006,365,353,12,0,0,0,0,64,41,30,3,122,209,28,3
California,Mariposa,2006,365,88,213,58,6,0,0,172,119,61,0,0,209,154,2
California,Mendocino,2006,365,341,24,0,0,0,0,97,48,34,0,37,307,15,6
California,Merced,2006,364,215,98,43,8,0,0,172,112,44,0,45,268,48,3
California,Mono,2006,269,238,15,6,2,0,8,4196,55,15,0,0,0,25,244
California,Monterey,2006,365,345,19,1,0,0,0,126,46,37,0,23,326,13,3
California,Napa,2006,365,349,14,2,0,0,0,105,44,34,2,84,273,0,6
California,Nevada,2006,365,174,108,59,24,0,0,200,136,53,0,0,284,20,61
California,Orange,2006,365,131,203,21,9,1,0,209,97,56,0,42,171,152,0
California,Placer,2006,365,138,142,53,30,2,0,209,147,60,0,20,221,124,0
California,Plumas,2006,365,287,75,3,0,0,0,139,68,38,0,0,172,95,98
California,Riverside,2006,365,74,147,79,54,11,0,218,174,84,0,19,231,97,18
California,Sacramento,2006,365,119,153,57,33,3,0,207,149,64,0,7,207,145,6
California,San Benito,2006,365,276,70,17,2,0,0,156,80,42,0,0,364,1,0
California,San Bernardino,2006,365,66,156,67,56,20,0,239,179,80,0,73,241,42,9
California,San Diego,2006,365,84,210,55,16,0,0,187,126,70,0,52,220,86,7
California,San Francisco,2006,365,266,95,4,0,0,0,147,63,37,2,81,93,189,0
California,San Joaquin,2006,365,227,101,30,7,0,0,195,101,44,0,79,233,47,6
California,San Luis Obispo,2006,365,219,95,45,6,0,0,174,115,46,0,8,335,17,5
California,San Mateo,2006,365,269,94,1,1,0,0,161,62,39,1,32,131,201,0
California,Santa Barbara,2006,365,229,120,15,1,0,0,162,80,48,0,4,346,14,1
California,Santa Clara,2006,365,208,135,15,7,0,0,200,88,47,0,23,160,174,8
California,Santa Cruz,2006,365,347,17,1,0,0,0,101,45,36,0,3,345,12,5
California,Shasta,2006,365,252,90,22,1,0,0,151,90,45,0,0,348,17,0
California,Siskiyou,2006,333,285,46,2,0,0,0,105,58,36,0,0,304,24,5
California,Solano,2006,365,201,144,17,3,0,0,154,85,47,0,15,141,209,0
California,Sonoma,2006,365,340,24,0,1,0,0,153,47,33,1,42,275,46,1
California,Stanislaus,2006,365,219,100,32,14,0,0,179,108,44,6,63,233,60,3
California,Sutter,2006,365,167,151,41,6,0,0,179,108,54,0,23,215,125,2
California,Tehama,2006,340,210,83,40,7,0,0,166,119,41,0,0,325,0,15
California,Trinity,2006,126,115,6,4,1,0,0,171,46,15,0,0,0,77,49
California,Tulare,2006,365,71,151,74,67,2,0,204,161,88,0,0,213,152,0
California,Tuolumne,2006,365,268,81,16,0,0,0,143,84,38,0,0,365,0,0
California,Ventura,2006,365,202,111,38,14,0,0,197,119,48,0,24,305,34,2
California,Yolo,2006,365,236,99,25,5,0,0,172,87,44,0,8,257,97,3
Canada,Saskatchewan,2006,32,28,4,0,0,0,0,83,56,25,0,0,0,32,0
Colorado,Adams,2006,365,212,149,2,2,0,0,174,71,48,0,116,149,41,59
Colorado,Alamosa,2006,362,344,13,4,0,1,0,300,38,19,0,0,0,24,338
Colorado,Arapahoe,2006,357,215,110,32,0,0,0,150,100,44,0,0,331,26,0
Colorado,Archuleta,2006,361,360,1,0,0,0,0,84,27,19,0,0,0,35,326
Colorado,Boulder,2006,365,226,120,16,3,0,0,154,90,46,8,0,323,33,1
Colorado,Delta,2006,114,108,6,0,0,0,0,63,41,25,0,0,0,37,77
Colorado,Denver,2006,365,172,178,14,1,0,0,166,84,52,0,159,140,64,2
Colorado,Douglas,2006,360,212,107,37,4,0,0,166,105,45,0,0,342,18,0
Colorado,El Paso,2006,365,223,126,16,0,0,0,129,87,46,0,0,327,37,1
Colorado,Elbert,2006,51,50,1,0,0,0,0,68,26,15,0,0,0,51,0
Colorado,Fremont,2006,57,57,0,0,0,0,0,50,25,16,0,0,0,0,57
Colorado,Garfield,2006,122,114,8,0,0,0,0,61,46,30,0,0,0,0,122
Colorado,Gunnison,2006,365,229,134,1,1,0,0,154,74,48,0,0,317,5,43
Colorado,Jackson,2006,112,112,0,0,0,0,0,28,18,8,0,0,0,112,0
Colorado,Jefferson,2006,365,222,95,41,7,0,0,177,108,45,0,0,365,0,0
Colorado,La Plata,2006,365,231,124,10,0,0,0,126,84,46,0,16,349,0,0
Colorado,Larimer,2006,365,184,142,33,6,0,0,179,101,50,0,0,351,13,1
Colorado,Mesa,2006,365,309,54,1,1,0,0,167,54,32,5,0,0,86,274
Colorado,Montezuma,2006,363,218,138,7,0,0,0,147,84,48,0,0,361,2,0
Colorado,Pitkin,2006,343,340,3,0,0,0,0,52,26,15,0,0,0,10,333
Colorado,Prowers,2006,365,351,14,0,0,0,0,91,35,19,0,0,0,0,365
Colorado,Pueblo,2006,129,107,22,0,0,0,0,66,54,33,0,0,0,101,28
Colorado,Routt,2006,352,331,21,0,0,0,0,67,39,19,0,0,0,0,352
Colorado,San Juan,2006,122,122,0,0,0,0,0,29,16,8,0,0,0,122,0
Colorado,San Miguel,2006,121,119,2,0,0,0,0,60,32,17,0,0,0,26,95
Colorado,Summit,2006,307,298,9,0,0,0,0,66,31,13,0,0,0,0,307
Colorado,Teller,2006,350,350,0,0,0,0,0,43,23,14,0,0,0,0,350
Colorado,Weld,2006,365,209,129,25,2,0,0,161,97,47,17,0,293,54,1
Connecticut,Fairfield,2006,365,260,76,18,9,2,0,215,90,41,7,129,159,70,0
Connecticut,Hartford,2006,365,246,110,5,3,1,0,206,74,40,26,51,127,161,0
Connecticut,Litchfield,2006,361,281,59,18,3,0,0,187,77,39,0,18,306,37,0
Connecticut,Middlesex,2006,179,130,30,14,4,1,0,205,101,41,0,0,179,0,0
Connecticut,New Haven,2006,365,203,140,17,4,1,0,209,84,47,0,91,95,179,0
Connecticut,New London,2006,237,170,57,6,3,1,0,205,80,43,0,0,165,72,0
Connecticut,Tolland,2006,176,127,34,11,4,0,0,200,97,44,0,0,176,0,0
Connecticut,Windham,2006,363,318,32,11,2,0,0,172,58,32,0,0,363,0,0
Country Of Mexico,BAJA CALIFORNIA NORTE,2006,365,29,175,100,40,15,6,352,172,91,25,45,116,50,129
Country Of Mexico,CHIHUAHUA STATE,2006,365,201,134,25,5,0,0,185,94,48,81,0,240,0,44
Country Of Mexico,SONORA,2006,331,31,234,51,14,1,0,201,125,73,14,0,0,0,317
Delaware,Kent,2006,265,156,93,13,3,0,0,159,90,47,0,0,175,90,0
Delaware,New Castle,2006,365,160,177,25,3,0,0,174,96,54,0,27,129,207,2
Delaware,Sussex,2006,267,140,106,19,2,0,0,159,93,50,0,0,200,67,0
District Of Columbia,District of Columbia,2006,365,159,171,26,9,0,0,192,99,54,1,57,137,168,2
Florida,Alachua,2006,365,268,87,10,0,0,0,126,71,41,0,0,315,44,6
Florida,Baker,2006,360,295,62,3,0,0,0,119,64,38,0,0,360,0,0
Florida,Bay,2006,365,237,111,17,0,0,0,147,80,44,0,0,306,53,6
Florida,Brevard,2006,365,270,87,7,1,0,0,156,71,43,0,0,316,49,0
Florida,Broward,2006,364,248,110,4,2,0,0,169,71,44,2,22,151,184,5
Florida,Citrus,2006,122,90,32,0,0,0,0,75,57,36,0,0,0,122,0
Florida,Collier,2006,364,251,111,2,0,0,0,119,64,43,0,0,163,201,0
Florida,Columbia,2006,359,272,83,4,0,0,0,122,77,41,0,0,359,0,0
Florida,Duval,2006,365,196,155,13,1,0,0,159,80,49,0,2,184,179,0
Florida,Escambia,2006,365,160,173,30,2,0,0,159,97,52,0,0,194,171,0
Florida,Hamilton,2006,316,315,1,0,0,0,0,51,27,17,0,0,0,0,316
Florida,Highlands,2006,364,290,65,9,0,0,0,136,71,38,0,0,364,0,0
Florida,Hillsborough,2006,365,145,189,27,4,0,0,167,100,54,0,1,165,187,12
Florida,Holmes,2006,354,278,70,5,1,0,0,154,71,40,0,0,354,0,0
Florida,Indian River,2006,339,248,83,8,0,0,0,150,74,43,0,0,339,0,0
Florida,Lake,2006,335,223,103,8,1,0,0,169,77,44,0,0,234,101,0
Florida,Lee,2006,365,298,60,7,0,0,0,126,64,38,0,0,325,33,7
Florida,Leon,2006,365,133,224,8,0,0,0,126,83,55,0,0,102,263,0
Florida,Liberty,2006,360,309,50,1,0,0,0,112,58,36,0,0,360,0,0
Florida,Manatee,2006,365,276,75,14,0,0,0,150,74,41,0,3,335,27,0
Florida,Marion,2006,365,284,73,8,0,0,0,140,71,41,0,0,318,47,0
Florida,Miami-Dade,2006,365,169,187,8,1,0,0,187,74,52,0,2,92,271,0
Florida,Nassau,2006,45,45,0,0,0,0,0,36,25,16,0,0,0,0,45
Florida,Orange,2006,365,194,154,16,1,0,0,156,87,49,0,3,184,178,0
Florida,Osceola,2006,364,299,59,6,0,0,0,133,67,37,0,0,364,0,0
Florida,Palm Beach,2006,364,279,80,5,0,0,0,147,63,39,1,15,236,105,7
Florida,Pasco,2006,365,266,85,13,1,0,0,161,77,42,0,0,365,0,0
Florida,Pinellas,2006,365,206,150,8,1,0,0,154,68,47,0,2,155,206,2
Florida,Polk,2006,365,267,85,12,1,0,0,159,77,41,0,0,311,43,11
Florida,Putnam,2006,365,356,9,0,0,0,0,65,35,22,0,0,0,0,365
Florida,Santa Rosa,2006,362,251,84,26,1,0,0,156,90,44,0,0,362,0,0
Florida,Sarasota,2006,365,270,86,8,1,0,0,154,77,41,2,0,323,31,9
Florida,Seminole,2006,365,271,82,11,1,0,0,154,80,40,0,0,297,42,26
Florida,St. Lucie,2006,364,245,118,1,0,0,0,112,64,43,0,0,138,226,0
Florida,Volusia,2006,365,283,76,6,0,0,0,119,65,40,0,0,313,41,11
Florida,Wakulla,2006,357,276,76,5,0,0,0,115,67,39,0,0,318,39,0
Georgia,Bibb,2006,363,130,209,21,3,0,0,164,97,58,0,0,115,248,0
Georgia,Charlton,2006,119,95,24,0,0,0,0,74,60,35,0,0,0,119,0
Georgia,Chatham,2006,364,141,222,1,0,0,0,119,77,56,0,0,38,326,0
Georgia,Chattooga,2006,263,194,60,9,0,0,0,143,74,44,0,0,243,0,20
Georgia,Clarke,2006,365,135,200,25,5,0,0,161,100,57,0,0,133,232,0
Georgia,Clayton,2006,119,36,83,0,0,0,0,100,83,61,0,0,0,119,0
Georgia,Cobb,2006,289,126,121,33,8,1,0,203,112,54,0,0,193,96,0
Georgia,Coffee,2006,58,23,35,0,0,0,0,84,73,55,0,0,0,58,0
Georgia,Columbia,2006,239,163,64,11,1,0,0,161,90,44,0,0,239,0,0
Georgia,Coweta,2006,360,134,204,18,4,0,0,156,90,56,0,0,99,261,0
Georgia,Dawson,2006,236,143,84,8,1,0,0,151,87,48,0,0,236,0,0
Georgia,DeKalb,2006,365,106,211,36,11,1,0,217,111,61,0,21,102,242,0
Georgia,Dougherty,2006,116,52,64,0,0,0,0,100,73,53,0,0,0,110,6
Georgia,Douglas,2006,266,146,87,26,6,1,0,203,112,47,0,0,245,0,21
Georgia,Fayette,2006,244,141,77,20,6,0,0,195,101,48,0,0,244,0,0
Georgia,Floyd,2006,117,37,77,2,1,0,0,155,83,61,0,0,0,117,0
Georgia,Fulton,2006,365,71,251,34,7,2,0,214,106,66,0,12,66,287,0
Georgia,Glynn,2006,282,206,75,1,0,0,0,122,64,43,0,0,193,87,2
Georgia,Gwinnett,2006,361,130,189,35,4,3,0,215,105,59,0,0,132,229,0
Georgia,Hall,2006,110,44,66,0,0,0,0,89,74,54,0,0,0,110,0
Georgia,Henry,2006,364,146,186,25,7,0,0,195,97,57,0,0,106,258,0
Georgia,Houston,2006,60,18,42,0,0,0,0,87,73,56,0,0,0,60,0
Georgia,Lowndes,2006,61,29,32,0,0,0,0,81,65,52,0,0,0,61,0
Georgia,Murray,2006,265,144,109,12,0,0,0,150,93,49,0,0,209,56,0
Georgia,Muscogee,2006,365,143,207,12,3,0,0,154,85,56,0,0,95,270,0
Georgia,Paulding,2006,365,161,175,26,3,0,0,177,93,54,0,3,121,241,0
Georgia,Pike,2006,351,225,93,28,5,0,0,179,100,44,0,0,351,0,0
Georgia,Richmond,2006,353,122,218,11,2,0,0,169,88,58,0,0,101,252,0
Georgia,Rockdale,2006,355,248,76,21,9,1,0,203,100,38,0,116,239,0,0
Georgia,Spalding,2006,59,59,0,0,0,0,0,40,31,22,0,0,0,0,59
Georgia,Sumter,2006,243,153,80,9,1,0,0,156,87,47,0,0,243,0,0
Georgia,Walker,2006,63,19,42,2,0,0,0,143,80,59,0,0,0,63,0
Georgia,Walton,2006,359,178,177,4,0,0,0,116,77,51,0,0,0,359,0
Georgia,Washington,2006,61,18,42,1,0,0,0,103,75,57,0,0,0,59,2
Georgia,Wilkinson,2006,120,41,79,0,0,0,0,98,77,56,0,0,0,120,0
Hawaii,Hawaii,2006,120,109,11,0,0,0,0,66,46,8,0,0,0,120,0
Hawaii,Honolulu,2006,365,358,6,1,0,0,0,149,33,20,23,38,142,54,108
Hawaii,Kauai,2006,335,335,0,0,0,0,0,31,19,10,0,0,0,0,335
Hawaii,Maui,2006,346,340,6,0,0,0,0,88,31,19,0,0,0,59,287
Idaho,Ada,2006,365,212,127,24,2,0,0,161,93,43,4,0,137,202,22
Idaho,Bannock,2006,354,341,13,0,0,0,0,77,35,16,0,0,0,202,152
Idaho,Benewah,2006,365,318,45,2,0,0,0,131,55,25,0,0,0,365,0
Idaho,Boise,2006,111,55,49,6,1,0,0,164,72,51,0,0,0,111,0
Idaho,Bonner,2006,351,349,2,0,0,0,0,57,29,14,0,0,0,0,351
Idaho,Bonneville,2006,274,264,10,0,0,0,0,64,35,22,0,0,0,274,0
Idaho,Butte,2006,109,105,4,0,0,0,0,83,35,11,0,0,0,109,0
Idaho,Canyon,2006,358,239,115,4,0,0,0,115,68,40,2,0,93,212,51
Idaho,Custer,2006,98,92,4,1,1,0,0,158,39,11,0,0,0,98,0
Idaho,Franklin,2006,291,259,31,1,0,0,0,113,52,20,0,0,0,291,0
Idaho,Gem,2006,2,1,1,0,0,0,0,55,55,55,0,0,0,2,0
Idaho,Idaho,2006,308,274,28,5,1,0,0,151,52,19,0,0,0,308,0
Idaho,Kootenai,2006,365,270,91,4,0,0,0,132,67,39,0,18,102,244,1
Idaho,Latah,2006,342,315,21,6,0,0,0,140,43,16,0,0,0,342,0
Idaho,Lemhi,2006,293,239,50,2,2,0,0,174,59,29,0,0,0,293,0
Idaho,Nez Perce,2006,334,290,38,6,0,0,0,121,53,23,0,0,0,306,28
Idaho,Power,2006,362,269,91,2,0,0,0,146,60,34,0,0,0,312,50
Idaho,Shoshone,2006,353,229,118,6,0,0,0,129,74,37,0,0,0,340,13
Idaho,Twin Falls,2006,307,272,35,0,0,0,0,79,52,29,0,0,0,307,0
Idaho,Valley,2006,113,71,38,2,2,0,0,155,76,40,0,0,0,113,0
Illinois,Adams,2006,362,294,64,4,0,0,0,119,67,37,0,0,325,37,0
Illinois,Champaign,2006,365,265,97,3,0,0,0,129,70,39,0,0,305,60,0
Illinois,Clark,2006,177,158,18,1,0,0,0,101,51,39,0,0,177,0,0
Illinois,Cook,2006,365,72,273,18,2,0,0,164,90,64,0,162,53,147,3
Illinois,DuPage,2006,364,320,43,1,0,0,0,105,54,29,0,0,317,47,0
Illinois,Effingham,2006,216,182,32,2,0,0,0,112,58,39,0,0,216,0,0
Illinois,Hamilton,2006,251,178,73,0,0,0,0,100,71,43,0,0,214,37,0
Illinois,Jackson,2006,60,59,1,0,0,0,0,53,29,19,0,0,0,0,60
Illinois,Jersey,2006,264,198,60,6,0,0,0,143,65,41,0,0,224,40,0
Illinois,Jo Daviess,2006,244,222,22,0,0,0,0,93,49,30,0,0,244,0,0
Illinois,Kane,2006,337,294,42,1,0,0,0,108,58,30,0,0,287,50,0
Illinois,La Salle,2006,362,313,49,0,0,0,0,87,54,25,0,0,0,110,252
Illinois,Lake,2006,365,313,46,6,0,0,0,150,58,31,0,0,335,30,0
Illinois,Macon,2006,363,277,80,6,0,0,0,129,67,37,0,0,318,45,0
Illinois,Macoupin,2006,339,288,49,2,0,0,0,108,61,34,0,0,326,0,13
Illinois,Madison,2006,365,181,156,26,2,0,0,174,94,51,0,0,186,97,82
Illinois,McHenry,2006,363,305,58,0,0,0,0,98,56,32,0,0,281,82,0
Illinois,McLean,2006,365,280,78,7,0,0,0,119,68,35,0,0,335,30,0
Illinois,Peoria,2006,365,284,77,4,0,0,0,108,64,37,24,0,266,74,1
Illinois,Randolph,2006,353,272,77,4,0,0,0,122,69,38,0,0,326,27,0
Illinois,Rock Island,2006,365,309,53,3,0,0,0,115,60,34,0,0,337,28,0
Illinois,Saint Clair,2006,361,251,98,10,2,0,0,182,77,41,2,104,169,84,2
Illinois,Sangamon,2006,365,312,52,1,0,0,0,112,58,33,4,0,325,36,0
Illinois,Will,2006,359,296,61,2,0,0,0,126,61,32,0,10,305,44,0
Illinois,Winnebago,2006,365,326,39,0,0,0,0,95,53,32,21,0,307,37,0
Indiana,Allen,2006,365,198,158,9,0,0,0,126,74,47,0,0,89,276,0
Indiana,Boone,2006,183,119,53,10,1,0,0,156,87,45,0,0,183,0,0
Indiana,Carroll,2006,172,117,51,4,0,0,0,119,74,45,0,0,172,0,0
Indiana,Clark,2006,245,130,105,7,3,0,0,166,87,48,0,0,147,98,0
Indiana,Delaware,2006,240,146,88,6,0,0,0,126,78,47,0,0,156,84,0
Indiana,Dubois,2006,122,53,67,2,0,0,0,127,75,53,0,0,0,122,0
Indiana,Elkhart,2006,240,160,78,2,0,0,0,133,72,45,0,0,149,91,0
Indiana,Floyd,2006,262,154,94,13,1,0,0,190,84,46,0,0,172,90,0
Indiana,Greene,2006,183,103,70,10,0,0,0,136,87,49,0,0,183,0,0
Indiana,Hamilton,2006,183,110,61,12,0,0,0,150,97,47,0,0,183,0,0
Indiana,Hancock,2006,182,122,47,13,0,0,0,136,90,45,0,0,182,0,0
Indiana,Hendricks,2006,365,313,45,7,0,0,0,129,66,29,7,166,178,0,14
Indiana,Henry,2006,111,63,48,0,0,0,0,86,73,46,0,0,0,111,0
Indiana,Howard,2006,114,59,55,0,0,0,0,90,71,49,0,0,0,114,0
Indiana,Huntington,2006,177,124,47,6,0,0,0,119,74,45,0,0,177,0,0
Indiana,Jackson,2006,183,115,60,8,0,0,0,133,84,46,0,0,183,0,0
Indiana,Johnson,2006,180,115,54,11,0,0,0,136,90,47,0,0,180,0,0
Indiana,Knox,2006,362,248,107,7,0,0,0,147,77,39,0,0,283,79,0
Indiana,LaPorte,2006,243,158,78,7,0,0,0,133,73,44,0,0,160,83,0
Indiana,Lake,2006,365,150,203,11,1,0,0,151,82,55,1,20,69,268,7
Indiana,Madison,2006,237,146,84,7,0,0,0,129,80,47,0,0,155,79,3
Indiana,Marion,2006,365,111,236,18,0,0,0,140,92,59,0,4,76,285,0
Indiana,Morgan,2006,183,111,60,12,0,0,0,129,93,48,0,0,183,0,0
Indiana,Perry,2006,214,121,79,14,0,0,0,147,97,47,0,0,182,0,32
Indiana,Porter,2006,355,262,88,5,0,0,0,126,65,40,0,0,142,83,130
Indiana,Posey,2006,176,166,9,1,0,0,0,129,47,34,0,0,176,0,0
Indiana,Shelby,2006,181,120,54,7,0,0,0,129,77,45,0,0,181,0,0
Indiana,Spencer,2006,107,60,46,1,0,0,0,125,71,48,0,0,0,107,0
Indiana,St. Joseph,2006,365,263,96,6,0,0,0,115,70,38,0,127,159,79,0
Indiana,Tippecanoe,2006,364,206,158,0,0,0,0,99,69,45,0,0,0,364,0
Indiana,Vanderburgh,2006,365,157,184,21,3,0,0,174,90,54,0,7,101,257,0
Indiana,Vigo,2006,244,148,89,7,0,0,0,119,77,47,0,0,150,94,0
Indiana,Wabash,2006,333,289,43,1,0,0,0,105,58,34,0,0,333,0,0
Indiana,Warrick,2006,183,92,77,12,2,0,0,154,93,50,0,0,183,0,0
Indiana,Washington,2006,119,86,32,1,0,0,0,102,69,37,0,0,0,119,0
Indiana,Whitley,2006,59,49,10,0,0,0,0,76,58,21,0,0,0,0,59
Iowa,Black Hawk,2006,121,87,33,1,0,0,0,102,61,35,0,0,0,116,5
Iowa,Bremer,2006,257,215,42,0,0,0,0,97,60,40,0,0,191,66,0
Iowa,Cerro Gordo,2006,365,315,50,0,0,0,0,95,54,28,0,0,0,0,365
Iowa,Clinton,2006,262,176,83,3,0,0,0,139,71,44,0,0,165,97,0
Iowa,Delaware,2006,53,53,0,0,0,0,0,45,28,15,0,0,0,0,53
Iowa,Harrison,2006,214,147,57,10,0,0,0,122,87,44,0,0,214,0,0
Iowa,Johnson,2006,120,82,37,1,0,0,0,104,67,40,0,0,0,120,0
Iowa,Lee,2006,116,116,0,0,0,0,0,50,34,20,0,0,0,0,116
Iowa,Linn,2006,365,303,61,1,0,0,0,112,60,35,94,0,192,78,1
Iowa,Montgomery,2006,269,220,47,2,0,0,0,119,61,35,0,0,166,88,15
